GHCN_ID,station_name,latitude,longitude,start_year,end_year
IN001050200,KAKINADA,16.95,82.233,1961,2012
IN001090500,RAMGUNDAM,18.767,79.433,1974,2012
IN001111200,MACHILIPATNAM,16.2,81.15,1957,2012
IN001120100,KURNOOL,15.8,78.067,1976,2012
IN001160200,NELLORE,14.45,79.983,1961,2012
IN003020100,TEZPUR,26.617,92.783,1973,2012
IN003041800,GAUHATI,26.1,91.583,1957,2012
IN003050401,NORTH_LAKHIMPUR,27.233,94.117,1974,2012
IN003050500,DIBRUGARH_MOHANBAR,27.483,95.017,1957,2012
IN004051800,GAYA,24.75,84.95,1973,2012
IN004102500,PATNA,25.6,85.1,1961,2012
IN004122600,RANCHI,23.317,85.317,1973,2012
IN005010600,AHMADABAD,23.067,72.633,1957,2012
IN005100100,VERAVAL,20.9,70.367,1957,2012
IN005120501,BHUJ-RUDRAMATA,23.25,69.667,1957,2012
IN005150100,RAJKOT,22.3,70.783,1973,2012
IN005171200,SURAT,21.2,72.833,1957,2012
IN006031000,HISSAR,29.167,75.733,1957,2012
IN008010200,SRINAGAR,34.083,74.833,1973,2012
IN009010100,BANGALORE,12.967,77.583,1973,2012
IN009021000,BELGAUM_SAMBRA,15.85,74.617,1973,2012
IN009070100,CHITRADURGA,14.233,76.433,1975,2012
IN009090300,GADAG,15.417,75.633,1957,2012
IN009130300,MANGALORE_BAJPE,12.917,74.883,1973,2012
IN010050700,KOZHIKODE,11.25,75.783,1957,2012
IN010100400,THIRUVANANTHAPURAM,8.483,76.95,1957,2012
IN011020300,JAGDALPUR,19.083,82.033,1957,2012
IN011060800,PENDRA_ROAD,22.767,81.9,1957,2012
IN011140700,GUNA,24.65,77.317,1973,2012
IN011150300,GWALIOR,26.233,78.25,1957,2012
IN011170400,INDORE,22.717,75.8,1957,2012
IN011180800,JABALPUR,23.2,79.95,1957,2012
IN011291000,RAIPUR,21.217,81.667,1957,1996
IN011340100,SATNA,24.567,80.833,1957,2012
IN011351500,BHOPAL_BAIRAGARH,23.283,77.35,1957,2012
IN012041000,AURANGABAD_ACHIKALTH,19.85,75.4,1973,2012
IN012070800,BOMBAY_SANTACRUZ,19.117,72.85,1957,2012
IN012141800,NAGPUR_SONEGAON,21.1,79.05,1957,2012
IN012190100,POONA,18.533,73.85,1957,2012
IN012201100,RATNAGIRI,16.983,73.333,1973,2012
IN012230300,SHOLAPUR,17.667,75.9,1957,2012
IN013010200,IMPHAL,24.667,93.9,1957,2012
IN017010300,BALASORE,21.517,86.933,1975,2012
IN017111200,BHUBANESWAR,20.25,85.833,1957,2012
IN017121000,JHARSUGUDA,21.917,84.083,1957,2012
IN018103100,PATIALA,30.333,76.467,1975,2012
IN019070100,BIKANER,28,73.3,1957,2012
IN019131301,JAIPUR_SANGANER,26.817,75.8,1957,2012
IN019140400,JAISALMER,26.9,70.917,1974,2012
IN019180500,JODHPUR,26.3,73.017,1957,2012
IN019191200,KOTA_AERODROME,25.15,75.85,1974,2012
IN020020300,CUDDALORE,11.767,79.767,1961,2012
IN020031700,COIMBATORE_PEELAMED,11.033,77.05,1973,2012
IN020040900,MADRAS_MINAMBAKKAM,13,80.183,1957,2012
IN020130700,TIRUCHCHIRAPALLI,10.767,78.717,1961,2012
IN021010100,AGARTALA,23.883,91.25,1961,2012
IN022021900,NEWDELHI_SAFDARJUN,28.583,77.2,1957,2012
IN022030600,GOA_PANJIM,15.483,73.817,1973,2012
IN023101700,BAREILLY,28.367,79.4,1957,2012
IN023160900,DEHRADUN,30.317,78.033,1957,2012
IN023261300,GORAKHPUR,26.75,83.367,1957,2012
IN023351400,LUCKNOW_AMAUSI,26.75,80.883,1957,2012
IN024141500,CALCUTTA_DUMDUM,22.65,88.45,1957,2012
IN099999901,PORT_BLAIR,11.667,92.717,1973,2012
